input,country,year,value
low,HR,2015,396212.0
low,HR,2016,312354.0
low,HR,2017,273608.0
low,HR,2018,264854.0
low,HR,2019,269577.0
low,HU,2010,1819291.0
low,HU,2011,1406496.0
low,HU,2012,1305380.0
low,HU,2013,1207339.0
low,HU,2014,1223319.0
low,HU,2015,1386138.0
low,HU,2016,1285211.0
low,HU,2017,1280117.0
low,HU,2018,1306599.0
low,HU,2019,1279040.0
low,IE,2010,1535476.0
low,IE,2011,1614607.0
low,IE,2012,1282033.0
low,IE,2013,1108676.0
low,IE,2014,1439135.0
low,IE,2015,1456494.0
low,IE,2016,1414140.0
low,IE,2017,1484995.0
low,IE,2018,1233700.0
low,IE,2019,1337867.0
low,IL,2010,
low,IL,2011,
low,IL,2012,
low,IL,2013,
low,IL,2014,
low,IL,2015,
low,IL,2016,
low,IL,2017,
low,IL,2018,
low,IL,2019,
low,IS,2010,
low,IS,2011,
low,IS,2012,
low,IS,2013,
low,IS,2014,
low,IS,2015,
low,IS,2016,
low,IS,2017,
low,IS,2018,
low,IS,2019,
low,IT,2010,4184623.0
low,IT,2011,4435542.0
low,IT,2012,3952526.0
low,IT,2013,4110604.0
low,IT,2014,3695715.0
low,IT,2015,3814272.0
low,IT,2016,3979703.0
low,IT,2017,4122591.0
low,IT,2018,4430655.0
low,IT,2019,4168862.0
low,LI,2010,
low,LI,2011,
low,LI,2012,
low,LI,2013,
low,LI,2014,
low,LI,2015,
low,LI,2016,
low,LI,2017,
low,LI,2018,
low,LI,2019,
low,LT,2010,853556.0
low,LT,2011,898355.0
low,LT,2012,1079972.0
low,LT,2013,1154373.0
low,LT,2014,1024897.0
low,LT,2015,983482.0
low,LT,2016,1076357.0
low,LT,2017,1035170.0
low,LT,2018,1027260.0
low,LT,2019,966337.0
low,LU,2010,41863.0
low,LU,2011,32742.0
low,LU,2012,37727.0
low,LU,2013,38434.0
low,LU,2014,43159.0
low,LU,2015,40126.0
low,LU,2016,38055.0
low,LU,2017,38201.0
low,LU,2018,34103.0
low,LU,2019,34288.0
low,LV,2010,529293.0
low,LV,2011,529572.0
low,LV,2012,571858.0
low,LV,2013,549256.0
low,LV,2014,457219.0
low,LV,2015,491303.0
low,LV,2016,478145.0
low,LV,2017,481526.0
low,LV,2018,442732.0
low,LV,2019,464394.0
low,MC,2010,
low,MC,2011,
low,MC,2012,
low,MC,2013,
low,MC,2014,
low,MC,2015,
low,MC,2016,
low,MC,2017,
low,MC,2018,
low,MC,2019,
low,MD,2010,
low,MD,2011,
low,MD,2012,
low,MD,2013,
low,MD,2014,
low,MD,2015,
low,MD,2016,
low,MD,2017,
low,MD,2018,
low,MD,2019,
low,ME,2010,
low,ME,2011,
low,ME,2012,
low,ME,2013,
low,ME,2014,
low,ME,2015,
low,ME,2016,
low,ME,2017,
low,ME,2018,
low,ME,2019,
low,MK,2010,
low,MK,2011,
low,MK,2012,
low,MK,2013,
low,MK,2014,
low,MK,2015,
low,MK,2016,
low,MK,2017,
low,MK,2018,
low,MK,2019,
low,MT,2010,2710.0
low,MT,2011,2839.0
low,MT,2012,2320.0
low,MT,2013,2383.0
low,MT,2014,2868.0
low,MT,2015,3493.0
low,MT,2016,3130.0
low,MT,2017,3077.0
low,MT,2018,3259.0
low,MT,2019,3382.0
low,NL,2010,623970.0
low,NL,2011,629502.0
low,NL,2012,516240.0
low,NL,2013,437204.0
low,NL,2014,439264.0
low,NL,2015,445004.0
low,NL,2016,394437.0
low,NL,2017,393726.0
low,NL,2018,419133.0
low,NL,2019,417560.0
low,NO,2010,
low,NO,2011,
low,NO,2012,
low,NO,2013,
low,NO,2014,
low,NO,2015,
low,NO,2016,
low,NO,2017,
low,NO,2018,
low,NO,2019,
low,PL,2010,4465073.0
low,PL,2011,4663687.0
low,PL,2012,4999662.0
low,PL,2013,4811765.0
low,PL,2014,4350049.0
low,PL,2015,4850771.0
low,PL,2016,4976126.0
low,PL,2017,4894694.0
low,PL,2018,4927368.0
low,PL,2019,5017318.0
low,PT,2010,902176.0
low,PT,2011,1030436.0
low,PT,2012,787333.0
low,PT,2013,881344.0
low,PT,2014,862731.0
low,PT,2015,812530.0
low,PT,2016,798277.0
low,PT,2017,689205.0
low,PT,2018,688208.0
low,PT,2019,642747.0
low,RO,2010,3555412.0
low,RO,2011,3490271.0
low,RO,2012,4081401.0
low,RO,2013,3467582.0
low,RO,2014,3039538.0
low,RO,2015,1881059.0
low,RO,2016,1703713.0
low,RO,2017,1694445.0
low,RO,2018,896567.0
low,RO,2019,703885.0
low,RS,2010,
low,RS,2011,
low,RS,2012,
low,RS,2013,
low,RS,2014,
low,RS,2015,
low,RS,2016,
low,RS,2017,
low,RS,2018,
low,RS,2019,
low,RU,2010,
low,RU,2011,
low,RU,2012,
low,RU,2013,
low,RU,2014,
low,RU,2015,
low,RU,2016,
low,RU,2017,
low,RU,2018,
low,RU,2019,
low,SE,2010,893458.0
low,SE,2011,952783.0
low,SE,2012,806652.0
low,SE,2013,854239.0
low,SE,2014,771113.0
low,SE,2015,838285.0
low,SE,2016,854111.0
low,SE,2017,891907.0
low,SE,2018,1073617.0
low,SE,2019,960949.0
low,SI,2010,152082.0
low,SI,2011,132066.0
low,SI,2012,142652.0
low,SI,2013,134634.0
low,SI,2014,138518.0
low,SI,2015,170306.0
low,SI,2016,161250.0
low,SI,2017,157445.0
low,SI,2018,173053.0
low,SI,2019,169519.0
low,SK,2010,723415.0
low,SK,2011,582151.0
low,SK,2012,546490.0
low,SK,2013,479639.0
low,SK,2014,457748.0
low,SK,2015,520906.0
low,SK,2016,464766.0
low,SK,2017,405493.0
low,SK,2018,433538.0
low,SK,2019,454670.0
low,SM,2010,
low,SM,2011,
low,SM,2012,
low,SM,2013,
low,SM,2014,
low,SM,2015,
low,SM,2016,
low,SM,2017,
low,SM,2018,
low,SM,2019,
low,TR,2010,
low,TR,2011,
low,TR,2012,
low,TR,2013,
low,TR,2014,
low,TR,2015,
low,TR,2016,
low,TR,2017,
low,TR,2018,
low,TR,2019,
low,UA,2010,
low,UA,2011,
low,UA,2012,
low,UA,2013,
low,UA,2014,
low,UA,2015,
low,UA,2016,
low,UA,2017,
low,UA,2018,
low,UA,2019,
low,UK,2010,4894031.0
low,UK,2011,4889671.0
low,UK,2012,5252731.0
low,UK,2013,5772012.0
low,UK,2014,5622033.0
low,UK,2015,5536886.0
low,UK,2016,5269917.0
low,UK,2017,5109808.0
low,UK,2018,5473271.0
low,UK,2019,5536358.0
low,VA,2010,
low,VA,2011,
low,VA,2012,
low,VA,2013,
low,VA,2014,
low,VA,2015,
low,VA,2016,
low,VA,2017,
low,VA,2018,
low,VA,2019,
medium,AD,2010,
medium,AD,2011,
medium,AD,2012,
medium,AD,2013,
medium,AD,2014,
medium,AD,2015,
medium,AD,2016,
medium,AD,2017,
medium,AD,2018,
medium,AD,2019,
medium,AL,2010,
medium,AL,2011,
medium,AL,2012,
medium,AL,2013,
medium,AL,2014,
medium,AL,2015,
medium,AL,2016,
medium,AL,2017,
medium,AL,2018,
medium,AL,2019,
medium,AM,2010,
medium,AM,2011,
medium,AM,2012,
medium,AM,2013,
medium,AM,2014,
medium,AM,2015,
medium,AM,2016,
medium,AM,2017,
medium,AM,2018,
medium,AM,2019,
medium,AT,2010,966845.0
medium,AT,2011,1011700.0
medium,AT,2012,878168.0
medium,AT,2013,853273.0
medium,AT,2014,718840.0
medium,AT,2015,748842.0
medium,AT,2016,699107.0
medium,AT,2017,618688.0
medium,AT,2018,665853.0
medium,AT,2019,605235.0
medium,AZ,2010,
medium,AZ,2011,
medium,AZ,2012,
medium,AZ,2013,
medium,AZ,2014,
medium,AZ,2015,
medium,AZ,2016,
medium,AZ,2017,
medium,AZ,2018,
medium,AZ,2019,
medium,BA,2010,
medium,BA,2011,
medium,BA,2012,
medium,BA,2013,
medium,BA,2014,
medium,BA,2015,
medium,BA,2016,
medium,BA,2017,
medium,BA,2018,
medium,BA,2019,
medium,BE,2010,498347.0
medium,BE,2011,515717.0
medium,BE,2012,525941.0
medium,BE,2013,496942.0
medium,BE,2014,435832.0
medium,BE,2015,366305.0
medium,BE,2016,352997.0
medium,BE,2017,323693.0
medium,BE,2018,326559.0
medium,BE,2019,331530.0
medium,BG,2010,1340573.0
medium,BG,2011,1021963.0
medium,BG,2012,989508.0
medium,BG,2013,723451.0
medium,BG,2014,714290.0
medium,BG,2015,612400.0
medium,BG,2016,413340.0
medium,BG,2017,399082.0
medium,BG,2018,700249.0
medium,BG,2019,628172.0
medium,BY,2010,
medium,BY,2011,
medium,BY,2012,
medium,BY,2013,
medium,BY,2014,
medium,BY,2015,
medium,BY,2016,
medium,BY,2017,
medium,BY,2018,
medium,BY,2019,
medium,CH,2010,
medium,CH,2011,
medium,CH,2012,
medium,CH,2013,
medium,CH,2014,
medium,CH,2015,
medium,CH,2016,
medium,CH,2017,
medium,CH,2018,
medium,CH,2019,
medium,CY,2010,32162.0
medium,CY,2011,29538.0
medium,CY,2012,29859.0
medium,CY,2013,32615.0
medium,CY,2014,34882.0
medium,CY,2015,24753.0
medium,CY,2016,29505.0
medium,CY,2017,26496.0
medium,CY,2018,32711.0
medium,CY,2019,33116.0
medium,CZ,2010,1113336.0
medium,CZ,2011,935282.0
medium,CZ,2012,1018480.0
